Ref,Val,Package,PosX,PosY,Rot,Side
"J3","2.54mm header 01x20","PinHeader_1x20_P2.54mm_Vertical",-94.850000,-106.900000,0.000000,bottom
"J4","2.54mm header 01x20","PinHeader_1x20_P2.54mm_Vertical",-112.450000,-58.700000,180.000000,bottom
"","","",106.200000,-108.625000,0.000000,top
"","","",103.650000,-108.650000,0.000000,top
"","","",101.100000,-108.550000,90.000000,top
"C1","10uf ","C_0603_1608Metric",109.300000,-67.200000,180.000000,top
"C2","22pf ","C_0402_1005Metric",101.000000,-97.617164,0.000000,top
"C3","1uf ","C_0402_1005Metric",107.600000,-84.650000,45.000000,top
"C4","22pF ","C_0402_1005Metric",105.550000,-69.690000,0.000000,top
"C5","100nf ","C_0402_1005Metric",102.550000,-75.750000,90.000000,top
"C6","100nf ","C_0402_1005Metric",104.850000,-96.092164,-90.000000,top
"C7","100nf ","C_0402_1005Metric",105.050000,-84.550000,45.000000,top
"C8","100nf ","C_0402_1005Metric",103.625000,-75.750000,90.000000,top
"C9","10uf ","C_0603_1608Metric",106.200000,-73.850000,-90.000000,top
"C10","1uf","C_0402_1005Metric",109.100000,-85.200000,90.000000,top
"C11","100nf ","C_0402_1005Metric",98.100000,-85.200000,180.000000,top
"C12","100nf ","C_0402_1005Metric",105.560000,-71.740000,180.000000,top
"C13","100nf ","C_0402_1005Metric",109.925000,-91.212500,0.000000,top
"C14","100nf ","C_0402_1005Metric",103.725000,-96.092164,-90.000000,top
"C15","100nf ","C_0402_1005Metric",100.100000,-85.200000,0.000000,top
"C16","100nf ","C_0402_1005Metric",109.100000,-87.100000,-90.000000,top
"C17","10uf ","C_0603_1608Metric",100.475000,-75.950000,180.000000,top
"C18","100nf","C_0402_1005Metric",98.625000,-91.100000,180.000000,top
"C19","22pf ","C_0402_1005Metric",104.200000,-99.117164,90.000000,top
"C101","0.1uf ","C_0402_1005Metric",97.650000,-62.500000,0.000000,top
"D1","1N4002W","D_SOD-123",109.850000,-60.400000,90.000000,top
"F1","0805L050WR","Fuse_0805_2012Metric",109.700000,-64.600000,90.000000,top
"FLASH","W25Q16JVUXIQ","SOIC-8_5.23x5.23mm_P1.27mm",101.650000,-80.100000,0.000000,top
"GPIO25_RESISTOR1","470 ","R_0402_1005Metric",98.200000,-68.050000,180.000000,top
"J2","TSA343G00-250J2","SW_Push_SPST_NO_Alps_SKRK",99.600000,-71.500000,0.000000,top
"J5","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",101.100000,-106.900000,90.000000,top
"L1","2.2uH","WPN252010UF2R2MT",108.500000,-73.300000,180.000000,top
"LED1","LED_0603","LED_0603_1608Metric",97.700000,-66.750000,0.000000,top
"R1","1K ","R_0402_1005Metric",97.800000,-73.900000,180.000000,top
"R2","10K ","R_0402_1005Metric",99.800000,-73.900000,180.000000,top
"R3","27r ","R_0402_1005Metric",107.950000,-81.750000,-90.000000,top
"R4","27r ","R_0402_1005Metric",109.000000,-81.750000,-90.000000,top
"R5","5.1K ","R_0402_1005Metric",105.100000,-66.850000,90.000000,top
"R6","5.1K ","R_0402_1005Metric",97.525000,-58.825000,90.000000,top
"R7","100K ","R_0402_1005Metric",106.172000,-66.850000,90.000000,top
"R8","680K","R_0402_1005Metric",105.550000,-70.740000,180.000000,top
"R9","200 ","R_0603_1608Metric",109.220000,-76.620000,0.000000,top
"R10","1 ","R_0402_1005Metric",109.550000,-75.300000,180.000000,top
"R11","1K ","R_0402_1005Metric",103.440000,-97.687164,0.000000,top
"R12","150K","R_0402_1005Metric",107.240000,-66.870000,-90.000000,top
"R101","5.6K ","R_0402_1005Metric",100.900000,-67.300000,-90.000000,top
"R102","220 ","R_0402_1005Metric",97.650000,-61.400000,180.000000,top
"R103","10K ","R_0402_1005Metric",99.800000,-67.300000,90.000000,top
"REF**","SON127P800X600X80-9N","SON127P800X600X80-9N",101.650000,-80.100000,0.000000,top
"RSW1","TSA343G00-250J2","SW_Push_SPST_NO_Alps_SKRK",107.700000,-99.300000,90.000000,top
"U1","TD6810-ADJ","SOT-23-5",108.450000,-70.000000,90.000000,top
"U3","RP2040","RP2040-QFN-56",104.250000,-89.937500,0.000000,top
"USB1","TYPE-C-31-M-12","HRO-TYPE-C-31-M-12",103.650000,-57.225000,180.000000,top
"Y1","3225_4P","Crystal_SMD_3225-4Pin_3.2x2.5mm",101.500000,-99.877164,0.000000,top
