Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
"","","101.1","-108.55","T","90.0",""
"","","103.65","-108.65","T","0.0",""
"","","106.2","-108.625","T","0.0",""
"C1","C_0603_1608Metric","109.3","-67.2","T","180.0","10uf 0603"
"C2","C_0402_1005Metric","101.0","-97.617164","T","0.0","22pf 0402"
"C3","C_0402_1005Metric","107.6","-84.65","T","45.0","1uf 0402"
"C4","C_0402_1005Metric","105.55","-69.69","T","0.0","22pF "
"C5","C_0402_1005Metric","102.55","-75.75","T","90.0","100nf 0402"
"C6","C_0402_1005Metric","104.85","-96.092164","T","-90.0","100nf 0402"
"C7","C_0402_1005Metric","105.05","-84.55","T","45.0","100nf 0402"
"C8","C_0402_1005Metric","103.625","-75.75","T","90.0","100nf 0402"
"C9","C_0603_1608Metric","106.2","-73.85","T","-90.0","10uf 0603"
"C10","C_0402_1005Metric","109.1","-85.2","T","90.0","1uf 0402"
"C11","C_0402_1005Metric","99.05","-86.3","T","180.0","100nf 0402"
"C12","C_0402_1005Metric","105.56","-71.74","T","180.0","100nf 0402"
"C13","C_0402_1005Metric","109.925","-91.2125","T","0.0","100nf 0402"
"C14","C_0402_1005Metric","103.725","-96.092164","T","-90.0","100nf 0402"
"C15","C_0402_1005Metric","100.1","-85.2","T","0.0","100nf 0402"
"C16","C_0402_1005Metric","109.1","-87.1","T","-90.0","100nf 0402"
"C17","C_0603_1608Metric","100.475","-75.95","T","180.0","10uf 0402"
"C18","C_0402_1005Metric","98.9","-91.0875","T","180.0","100nf 0402"
"C19","C_0402_1005Metric","104.2","-99.117164","T","90.0","22pf 0402"
"C101","C_0402_1005Metric","97.65","-62.5","T","0.0","0.1uf 0402"
"D1","D_SOD-123","109.85","-60.4","T","90.0","1N4002W"
"F1","Fuse_0805_2012Metric","109.7","-64.6","T","90.0","0805L050WR"
"FLASH","SOIC-8_5.23x5.23mm_P1.27mm","101.65","-80.1","T","0.0","W25Q16JVUXIQ"
"GPIO25_LED1","LED_0402_1005Metric","98.205","-67.0","T","0.0","LED_0402"
"GPIO25_RESISTOR1","R_0402_1005Metric","98.2","-68.05","T","180.0","470 0402"
"J2","SW_Push_SPST_NO_Alps_SKRK","99.6","-71.5","T","0.0","TSA343G00-250J2"
"J3","PinHeader_1x20_P2.54mm_Vertical","94.95","-106.9","B","0.0","2.54mm header 01x20"
"J4","PinHeader_1x20_P2.54mm_Vertical","112.25","-58.7","B","180.0","2.54mm header 01x20"
"J5","PinHeader_1x03_P2.54mm_Vertical","101.1","-106.9","T","90.0","Conn_01x03_Male"
"L1","WPN252010UF2R2MT","108.5","-73.1","T","180.0","2.2uH"
"R1","R_0402_1005Metric","97.8","-73.9","T","180.0","1K 0402"
"R2","R_0402_1005Metric","99.8","-73.9","T","180.0","10K 0402"
"R3","R_0402_1005Metric","107.95","-81.75","T","-90.0","27r 0402 resistor"
"R4","R_0402_1005Metric","109.0","-81.75","T","-90.0","27r 0402 resistor"
"R5","R_0402_1005Metric","105.1","-66.85","T","90.0","5.1K 0402"
"R6","R_0402_1005Metric","97.525","-58.825","T","90.0","5.1K 0402"
"R7","R_0402_1005Metric","106.172","-66.85","T","90.0","100K 0402"
"R8","R_0402_1005Metric","105.55","-70.74","T","180.0","680K"
"R9","R_0603_1608Metric","109.22","-76.62","T","0.0","200 0603"
"R10","R_0402_1005Metric","109.55","-75.3","T","180.0","1 0402"
"R11","R_0402_1005Metric","103.44","-97.687164","T","0.0","1K 0402"
"R12","R_0402_1005Metric","107.24","-66.87","T","-90.0","150K"
"R101","R_0402_1005Metric","100.8","-66.84","T","-90.0","5.6K 0402"
"R102","R_0402_1005Metric","97.65","-61.4","T","180.0","220 0402"
"R103","R_0402_1005Metric","99.75","-66.84","T","90.0","10K 0402"
"REF**","SON127P800X600X80-9N","101.65","-80.1","T","0.0","SON127P800X600X80-9N"
"RSW1","SW_Push_SPST_NO_Alps_SKRK","107.7","-99.3","T","90.0","TSA343G00-250J2"
"U1","SOT-23-5","108.45","-70.0","T","90.0","TD6810-ADJ"
"U3","RP2040-QFN-56","104.25","-89.9375","T","0.0","RP2040"
"USB1","HRO-TYPE-C-31-M-12","103.65","-57.225","T","180.0","TYPE-C-31-M-12"
"Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","101.5","-99.877164","T","0.0","3225_4P"
